province,constituency,amphoe,tambon,unit,form_type,eligible_voters,turnout,ballots_allocated,ballots_used,valid_ballots,spoiled_ballots,abstain_ballots,ballots_remaining,val_total_votes_in_table,val_effective_vote_sum,val_valid_ballots,val_vote_diff,กล้าธรรม_votes,กล้าธรรม_votes_th,ภูมิใจไทย_votes,ภูมิใจไทย_votes_th,เพื่อไทย_votes,เพื่อไทย_votes_th,ประชาชน_votes,ประชาชน_votes_th,ไทรวมพลัง_votes,ไทรวมพลัง_votes_th,ประชาธิปไตยใหม่_votes,ประชาธิปไตยใหม่_votes_th,พลังประชารัฐ_votes,พลังประชารัฐ_votes_th,ประชาธิปัตย์_votes,ประชาธิปัตย์_votes_th,เศรษฐกิจ_votes,เศรษฐกิจ_votes_th,ไทยก้าวใหม่_votes,ไทยก้าวใหม่_votes_th
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,4,constituency,214,176,200,136,131,5,,64,130,130,131,-1,32,32,0,0,2,2,6,6,89,89,0,0,0,0,0,0,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,5,constituency,260,167,260,167,152,10,5,93,152,152,152,0,40,10,2,2,1,1,1,1,105,0,0,0,0,0,2,2,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,6,constituency,582,346,580,346,299,2,5,234,339,339,299,40,136,0,1,1,7,7,29,29,161,0,0,0,0,0,0,0,4,4,1,1
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลนาคำใหญ่,8,constituency,504,296,500,296,280,9,7,204,277,277,280,-3,80,83,3,3,20,20,43,43,121,0,1,1,0,0,1,1,8,8,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,1,constituency,681,542,680,542,526,11,9,198,528,528,526,2,196,0,4,4,9,9,55,55,263,263,0,0,0,0,1,1,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,2,constituency,668,529,660,527,516,9,2,-133,516,516,516,0,154,0,1,1,2,2,28,28,325,0,0,0,1,1,1,1,4,4,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,3,constituency,172,172,220,172,168,2,2,48,168,168,168,0,90,90,0,0,1,1,7,7,67,67,0,0,0,0,1,1,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,4,constituency,644,411,640,411,389,9,13,229,389,389,389,0,155,0,4,0,12,0,32,32,181,0,0,0,1,0,1,1,3,3,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,5,constituency,528,354,540,354,329,11,14,486,299,299,329,-30,128,0,4,4,10,10,38,38,107,0,3,3,1,1,1,1,6,6,1,1
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านกอก,6,constituency,458,295,440,285,267,7,11,155,267,267,267,0,78,0,5,0,16,0,45,0,117,0,2,0,1,0,0,0,3,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,1,constituency,470,146,240,146,142,2,2,94,142,142,142,0,74,74,1,1,1,1,7,7,58,58,0,0,0,0,0,0,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,10,constituency,288,195,280,195,184,7,4,85,239,239,184,55,104,0,1,1,61,0,12,12,61,0,0,0,0,0,0,0,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,11,constituency,340,200,340,200,191,5,4,140,191,191,191,0,82,82,2,2,1,1,8,8,97,97,0,0,0,0,0,0,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,12,constituency,338,172,320,172,166,6,,144,166,166,166,0,46,46,2,2,2,2,10,10,103,0,1,1,1,1,0,0,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,3,constituency,535,374,520,374,362,6,6,146,362,362,362,0,229,229,3,3,7,7,29,29,91,0,0,0,1,1,2,2,0,0,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,4,constituency,548,367,540,367,363,1,3,173,363,363,363,0,235,235,1,1,10,10,22,22,94,94,0,0,0,0,0,0,1,1,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,5,constituency,267,167,260,167,167,1,7,93,157,157,167,-10,67,67,3,3,3,3,11,0,71,0,0,0,0,0,0,0,2,2,0,0
อุบลราชธานี,2,อำเภอเขื่องใน,ตำบลบ้านไทย,7,constituency,520,297,520,297,289,2,2,22,259,259,289,-30,75,75,4,4,7,7,20,20,148,0,1,1,0,0,2,2,2,2,0,0
